DOF,0.2,0.1,0.05,0.02,0.01,0.001
6,1.44,1.943,2.447,3.143,3.707,5.959
7,1.415,1.895,2.365,2.998,3.499,5.408
8,1.397,1.86,2.306,2.896,3.355,5.041
9,1.383,1.833,2.262,2.821,3.25,4.781
10,1.372,1.812,2.228,2.764,3.169,4.587
11,1.363,1.796,2.201,2.718,3.106,4.437
12,1.356,1.782,2.179,2.681,3.055,4.318
13,1.35,1.771,2.16,2.65,3.012,4.221
14,1.345,1.761,2.145,2.624,2.977,4.14
15,1.341,1.753,2.131,2.602,2.947,4.073
16,1.337,1.746,2.12,2.583,2.921,4.015
17,1.333,1.74,2.11,2.567,2.898,3.965
18,1.33,1.734,2.101,2.552,2.878,3.922
19,1.328,1.729,2.093,2.539,2.861,3.883
20,1.325,1.725,2.086,2.528,2.845,3.85